Bigram,Frequency
in the,321
on the,180
to the,174
and i,159
i am,147
of the,135
to be,120
and the,117
in a,102
i know,102
i don't,99
all the,96
and you,96
for the,96
from the,93
you can,87
when i,87
you know,84
i can,81
in your,81
that i,78
want to,78
i was,75
out of,75
the way,75
in my,72
but i,72
do you,69
i got,69
to me,66
at the,66
i could,63
like a,63
for you,63
this is,63
if you,60
what you,57
be a,57
make me,57
i wanna,54
i will,54
you want,54
with the,54
for me,54
the day,54
with a,51
no one,51
i have,51
on a,51
for a,48
with you,48
i just,48
of a,48
is a,48
to do,48
i want,48
to see,45
don't know,45
just a,45
you are,45
when you,45
there's no,45
have to,45
that you,45
the same,45
i do,45
we are,45
my mind,42
i guess,42
through the,42
the sky,42
of my,42
i need,42
tell me,42
on my,42
me to,42
when the,42
by the,42
and we,39
got a,39
you say,39
i love,39
used to,39
i'm a,39
to go,39
to find,39
with your,39
time to,39
is the,39
with me,36
you can't,36
i said,36
you and,36
the world,36
to say,36
everything i,36
do it,36
give me,36
a little,36
he was,33
